year	month	passengers
1958	January	340
1958	February	318
1958	March	362
1958	April	348
1958	May	363
1958	June	435
1958	July	491
1958	August	505
1958	September	404
1958	October	359
1958	November	310
1958	December	337
1959	January	360
1959	February	342
1959	March	406
1959	April	396
1959	May	420
1959	June	472
1959	July	548
1959	August	559
1959	September	463
1959	October	407
1959	November	362
1959	December	405
1960	January	417
1960	February	391
1960	March	419
1960	April	461
1960	May	472
1960	June	535
1960	July	622
1960	August	606
1960	September	508
1960	October	461
1960	November	390
1960	December	432
